names,question,response
ID,Six digit subject ID,Number XXXXXX
day,Day of assessment over two weeks,Number 1-14
signal,Assessment index on a certain day,From 1 to 4
time,Timestamp,NA
flags,Indicator of whether participant reponded to cue for survey,"Processed=answered, Unprocessed=invalid timepoint, Missed=participant missed cue"
VAR.timePlan,Timeplan the subject selected,"Number 1-12, Letter A-D"
VAR.gender,Gender of subject,"m = male, f = female"
VAR.saliva,Dummy variable indicating coritsol saliva collection with EMA,"0 = no, 1 = yes"
morning.instructions,NA,NA
morning.bedtime,About what time did you go to bed last night (regardless of the time you actually fell asleep)?,"Time in 30 min interval, represented as a number 0 (12:00am-12:30am) to 23.5 (11:30pm-12:00am) "
hrsleep,[morning-sleep-quantity] About how many hours did you actually sleep? ,Number of hours 0-14 in 0.5 increments
qlsleep,[morning-sleep-quality] How rested did you feel upon awakening?,Likert Scale 1-7
diffslp,[morning-sleep-problems_falling-asleep] Which (if any) of the following sleep problems did you have last night? {Difficulty falling asleep},"1 = yes, 0 = no "
awaknght,[morning-sleep-problems_awakening-night] Which (if any) of the following sleep problems did you have last night? {Awakening during the night},"1 = yes, 0 = no "
awakerly,[morning-sleep-problems_awakening-early] Which (if any) of the following sleep problems did you have last night? {Awakening too early},"1 = yes, 0 = no "
morning.sleep.problems_feeling.unrestored,Which (if any) of the following sleep problems did you have last night? {feeling-unrestored},"1 = yes, 0 = no "
morning.sleep.problems_nightmares,Which (if any) of the following sleep problems did you have last night? {nightmares},"1 = yes, 0 = no "
othrslp,[morning-sleep-problems_other] Which (if any) of the following sleep problems did you have last night? {other sleep problem},"1 = yes, 0 = no "
morning.sleeping.pills,Did you take any sleeping pills last night?,"1 = yes, 0 = no "
now.instructions,NA,NA
now.where,Where are you right now? ,Character string responses for each location
alone,[now-company_alone] Who is with you at this moment? {alone},"1 = yes, 0 = no "
fampart,[now-company_family] Who is with you at this moment? {family},"1 = yes, 0 = no "
friends,[now-company_friends] Who is with you at this moment {friends},"1 = yes, 0 = no "
collcl,[now-company_colleagues] Who is with you at this moment {Colleagues of classmates},"1 = yes, 0 = no "
strange,[now-company_strangers] Who is with you at this moment {strangers},"1 = yes, 0 = no "
