names,question,response
fam,Family ID,"If greater than 50,000 the participant is general population sample"
id,Individual ID,"A number, either 1, 55, 56, 70, 71, 72, 73, or 74"
followup,NA,NA
participant,NA,A number from 0-7
age,Age of the participant ,From 11 years old to 71 years old
sex,Gender of the participant,"0=male, 1=female"
subjectid,Concatenated participant ID,"A character string in the form of  ""fam.id.followup.participant"""
dateEMA,System day variable,NA
Day_of_Week,Day of the week,A number from 1-7
weekday,Dummy variable for weekday,"1 = yes, 0 = no "
weekend,Dummy variable for weekend,"1 = yes, 0 = no "
studyDay,Custom day of week variable ,"A number from 0-6, 0 is the weekday the study started"
daySignal,Assessment index on a certain day,From 1 to 4
time,Timestamp,NA
flags,Indicator of whether participant reponded to cue for survey,"Processed=answered, Unprocessed=invalid timepoint, Missed=participant missed cue"
VAR_timePlan,Timeplan the subject selected,"Number 1-12, Letter A-D"
VAR_gender,Gender of subject,"m = male, f = female"
morning_instructions,NA,NA
morning_bedtime,About what time did you go to bed last night (regardless of the time you actually fell asleep)?,"Time in 30 min interval, represented as a number 0 (12:00am-12:30am) to 23.5 (11:30pm-12:00am) "
morning_sleep_quantity,About how many hours did you actually sleep? ,Number of hours 0-14 in 0.5 increments
morning_sleep_quality,How rested did you feel upon awakening?,Likert Scale 1-7
morning_sleep_problems_falling,Which (if any) of the following sleep problems did you have last night? {Difficulty falling asleep},"1 = yes, 0 = no "
morning_sleep_problems_awake_ni,Which (if any) of the following sleep problems did you have last night? {Awakening during the night},"1 = yes, 0 = no "
morning_sleep_problems_awake_ea,Which (if any) of the following sleep problems did you have last night? {Awakening too early},"1 = yes, 0 = no "
morning_sleep_problems_feeling,Which (if any) of the following sleep problems did you have last night? {feeling-unrestored},"1 = yes, 0 = no "
morning_sleep_problems_nightmar,Which (if any) of the following sleep problems did you have last night? {nightmares},"1 = yes, 0 = no "
morning_sleep_problems_other,Which (if any) of the following sleep problems did you have last night? {other sleep problem},"1 = yes, 0 = no "
morning_sleeping_pills,Did you take any sleeping pills last night?,"1 = yes, 0 = no "
now_instructions,NA,NA
now_where,Where are you right now? ,Character string responses for each location
now_company_alone,Who is with you at this moment? {alone},"1 = yes, 0 = no "
now_company_family,Who is with you at this moment? {family},"1 = yes, 0 = no "
now_company_friends,Who is with you at this moment {friends},"1 = yes, 0 = no "
now_company_colleagues,Who is with you at this moment {Colleagues of classmates},"1 = yes, 0 = no "
now_company_strangers,Who is with you at this moment {strangers},"1 = yes, 0 = no "
now_company_pet,"Who is with you at this moment {A pet (dog, cat)}","1 = yes, 0 = no "
now_company_other,Who is with you at this moment {Other},"1 = yes, 0 = no "
now_activity_nothing,What are you doing at this moment? {Nothing or waiting},"1 = yes, 0 = no "
now_activity_resting,What are you doing at this moment? {Napping/Resting},"1 = yes, 0 = no "
now_activity_eating,What are you doing at this moment? {Eating},"1 = yes, 0 = no "
now_activity_household,What are you doing at this moment? {Household chores},"1 = yes, 0 = no "
now_activity_working,What are you doing at this moment? {Working (paid or volunteer)},"1 = yes, 0 = no "
now_activity_shopping,What are you doing at this moment? {Shopping},"1 = yes, 0 = no "
now_activity_hygiene,What are you doing at this moment? {Personal hygiene care},"1 = yes, 0 = no "
