names,question,response
ID,Subject ID number,Six digit number: XXXXX
day,Day of assessment,From 1 to 14
signal,Assessment index on a certain day,From 1 to 4
Morning,Dummy variable indicating morning assessment,"1 = yes, 0 = no"
Noon,Dummy variable indicating noon assessment,"1 = yes, 0 = no"
Afternoon,Dummy variable indicating afternoon assessment,"1 = yes, 0 = no"
Evening,Dummy variable indicating evening assessment,"1 = yes, 0 = no"
time,Timestamp of assessment,NA
TIME0,NA,NA
TIME1,NA,NA
secDay,NA,NA
totalRT,NA,NA
missed,NA,NA
RowProperty,NA,NA
Alcohol,any alcohol use since last questionnaire ,"1 = yes, 0 = no"
Dizzy,"""""","1 = yes, 0 = no"
evwork,event related to work,"1 = yes, 0 = no"
eveduc,event related to education,"1 = yes, 0 = no"
evff,event related to friends or family,"1 = yes, 0 = no"
evcoll,event related to interactions with colleagues,"1 = yes, 0 = no"
evstrang,event related to interactions with strangers,"1 = yes, 0 = no"
evhous,event related to housing,"1 = yes, 0 = no"
evleisur,event related to leisure activities,"1 = yes, 0 = no"
evhealth,event related to health issues ,"1 = yes, 0 = no"
evmoney,event related to money or finances ,"1 = yes, 0 = no"
evrelig,event related to religion or spirituality,"1 = yes, 0 = no"
evlegal,event related to legal issues,"1 = yes, 0 = no"
evafschl,event related to after school activities,"1 = yes, 0 = no"
evintstu,event related to interactions with students,"1 = yes, 0 = no"
evtransp,"event related to travel, commuting or transportation","1 = yes, 0 = no"
evother,other events,"1 = yes, 0 = no"
Foodchi,These food questions were administered to a portion of sample. Chinese food,"1 = yes, 0 = no"
Foodlow,These food questions were administered to a portion of sample. Low-fat or diet food,"1 = yes, 0 = no"
Foodsalt,These food questions were administered to a portion of sample. Salty food.,"1 = yes, 0 = no"
Foodsfdr,These food questions were administered to a portion of sample. Sugar-free or diet drinks,"1 = yes, 0 = no"
Foodsffo,These food questions were administered to a portion of sample. Surgar-free or diet foods,"1 = yes, 0 = no"
Foodav,avocado ,"1 = yes, 0 = no"
Foodbrd,bread ,"1 = yes, 0 = no"
Foodchs,cheese,"1 = yes, 0 = no"
Foodchoc,chocolate,"1 = yes, 0 = no"
Foodcitr,citrus fruit,"1 = yes, 0 = no"
Fooddogs,hotdog,"1 = yes, 0 = no"
Foodotdr,other dairy product,"1 = yes, 0 = no"
Foodotfr,other fruits,"1 = yes, 0 = no"
Foodotsg,other kinds of sausage,"1 = yes, 0 = no"
Foodotfs,other types of fish,"1 = yes, 0 = no"
Foodotvg,other vegetables,"1 = yes, 0 = no"
Foodpean,peanuts or other nuts,"1 = yes, 0 = no"
Foodpres,preserved meat,"1 = yes, 0 = no"
Foodsalm,salmon or halibut,"1 = yes, 0 = no"
Foodscal,scallops or shrimp,"1 = yes, 0 = no"
Foodsoy,soy (soy sauce or tofu),"1 = yes, 0 = no"
Foodsqua,squash,"1 = yes, 0 = no"
Foodtom,tomato,"1 = yes, 0 = no"
hungry,degree of hunger or appetite,Likert Scale 1-4
active,active or aroused,Likert Scale 1-7
Inbed,Time went to bed,Time in 30 minute intervals
INBED0,NA,NA
INBED1,NA,NA
Light,how much did light bother you,Likert Scale 1-4
Medsover,over the counter medication use to treat headache,"1 = yes, 0 = no"
Medspres,prescription medication use to treat headache,"1 = yes, 0 = no"
Noise,how much did noise bother you today,Likert Scale 1-4
Odors,how much did certain odors bother you today,Likert Scale 1-4
Sensit,how much more sensitive or easily hurt are you today than usual,Likert Scale 1-3
cigaret,smoked cigarette,"1 = yes, 0 = no"
othdrug,used other drug,"1 = yes, 0 = no"
cannabis,smoked cannabis,"1 = yes, 0 = no"
hdspeak,headache accompanied by difficulty speaking,"1 = yes, 0 = no"
expbef,experienced speaking difficulty before headache onset,"1 = yes, 0 = no"
expsame,experienced speaking difficulty at the same time as headache onset,"1 = yes, 0 = no"
expafter,experienced speaking difficulty after headache onset,"1 = yes, 0 = no"
noexp,did not experience difficulty speaking with headache,"1 = yes, 0 = no"
hdintens,headache intensity,Likert Scale 1-7
hdlight,degree to which light bothered you with headache,Likert Scale 1-4
muscpain,had muscle pain with headache,NA
hdnaus,degree to which felt nauseated or diarrhea with headache,Likert Scale 1-4
hdnoise,degree to which noise bothered you with headache,Likert Scale 1-4
hdnumb,had numbing or tingling with headache,"1 = yes, 0 = no"
numbbef,numbing occurred before headache,"1 = yes, 0 = no"
numbaft,numbing occurred after headache,"1 = yes, 0 = no"
numbsam,numbing occurred at same time as headache,"1 = yes, 0 = no"
nonumb,had no numbing or tingling,"1 = yes, 0 = no"
hdodtrig,odor triggered headache,"1 = yes, 0 = no"
hdodor,degree bothered by odors with headache,Likert Scale 1-4
hdbend,did headache pain increase with bending over or climbing stairs,"1 = yes, 0 = no"
hdthrob,headache pain was throbbing or pulsating,"1 = yes, 0 = no"
visbef,visual symptoms occurred before headache onset,"1 = yes, 0 = no"
vissame,visual symptoms occurred at same time as headache onset,"1 = yes, 0 = no"
visafter,visual symptoms occurred after headache onset,"1 = yes, 0 = no"
visnone,had no visual symptoms during headache,"1 = yes, 0 = no"
Blind,blind spots during headache,"1 = yes, 0 = no"
Blurred,blurred vision during headache,"1 = yes, 0 = no"
Flashing,flashing lights during headache,"1 = yes, 0 = no"
bothside,headache was on both sides of head,"1 = yes, 0 = no"
leftside,headache was on left side of head,"1 = yes, 0 = no"
